ə'grændaɪz|əˈɡrænˌdaɪz*** ˈæɡrən-,aggrandize,v增大|吹捧,vt. 扩大某人的权力； 提高某人的地位； 夸大； 吹捧,personal aggrandizement ;aggrandize their own kingdoms;aggrandize the devotion to;grand大
ˈægrəveɪt|ˈæɡrəˌvet,aggravate,v加重;恶化,vt. 加重，使恶化； 使恼火； 激怒；,aggravate one's condition by;grave
ˈægrɪgət|ˈæɡrɪɡɪt,aggregate,v集合|合计,n. 合计； 聚集体； 骨料； 集料（可成混凝土或修路等用的）|adj. 总数的，总计的； 聚合的； [地]聚成岩的；|vt. 使聚集，使积聚； 总计达；,aggregate demand;an aggregate of 1***327 votes ;Sheila’s earnings from all sources aggregated £100***000.
əˈgreʃn|əˈɡrɛʃən,aggression,v侵略,n. 侵略，侵略行为； 攻击，进攻；,show aggression towards (against)
əˈgresɪv|əˈɡrɛsɪv,aggressive,adj好斗的|进取的,,aggressive nation
əˈgresə(r)|əˈɡrɛsɚ,aggressor,n侵略者;攻击者,n. 侵略者； 挑衅者； 侵略国；,potential aggressors
ə'gri:v|əˈɡriv,aggrieve,v使受委屈;使痛苦,v. 令委屈，令苦恼，侵害；,aggrieve sb
ˈædʒaɪl|ˈædʒl,agile,adj敏捷的;灵活的,adj. 灵巧的； 轻快的； 灵活的； 机敏的,an agile mind;agile supply chain
ə'dʒɪlətɪ|əˈdʒɪlɪti,agility,n敏捷,n. 敏捷； 活泼； 灵活； 机敏,With surprising agility*** Karl darted across the road.
ˈædʒɪteɪt|ˈædʒɪˌtet,agitate,v搅动|使不安,vt. 搅动，摇动； 使不安； 激烈讨论；|vi. 鼓动，煽动；,agitate for better conditions;agitate the water with a finger
ˈædʒɪteɪtɪd|ˈædʒəˌtetɪtɪd,agitated,adj被鼓动的|不安的,adj. 不安的； 激动的； 颤抖的； （问题等）争论不休的|v. 搅动( agitate的过去式和过去分词 )； 激怒； 使焦虑不安； （尤指为法律、社会状况的改变而）激烈争论,agitate v. ;get agitated
ægˈnɒstɪk|ægˈnɑstɪk,agnostic,adj不可知论的,n. 不可知论者；|adj. 不可知论（者）的；,gnostic 知的，认识的 atheist ;be an agnostic
əˈgɒg|əˈgɑg,agog,adj兴奋的;有强烈兴趣的,adj.& adv. 渴望的（地）； 期待着的（地）； 极兴奋的（地）； 激动的（地）|adj. 焦急地期待着；,be agog to do sth. Solicitous;Paul was agog with curiosity.
ˈægəni|ˈæɡəni,agony,n极大痛苦,n. 极大的痛苦； 苦恼，烦闷； 临死的挣扎； （感情的）迸发,an great agony
əˈgreəriən|əˈgreriən,agrarian,adj土地的,adj. 土地的； 农业的； 农村的； 促进农业利益的|n. 平均地权论者；,agrarian reforms;agrarian country ;agrarian commodity
əˈgri:əbl|əˈɡriəbəl,agreeable,adj令人喜悦的|欣然同意的,,My parents are quite agreeable to my studying abroad.
ə'ɡrɒnəmɪ|əˈɡrɑnəmi,agronomy,n农学;农艺学,n. 农艺学，农学；,agronomist ; study agronomy
eɪl|el,ail,v生病,vi. 生病； 感到不舒服； 处境困难； 境况不佳|vt. 使受病痛； 使疼痛； 使烦恼； 折磨|n. 病痛，苦恼，烦恼；,What ails you? Mary has been ailing for a week.
ˈeəbɔ:n|ˈerbɔrn,airborne,adj空气传播的|空运的,adj. 空运的，飞机载的； 航空的； 空气所带的； 空气传播的,airborne pollutants ;airborne troops
ˈeətaɪt|ˈertaɪt,airtight,adj密闭的;不透气的,adj. 不透气的； 密封的； <主美口>（防守等）严密的； 无懈可击的,an airtight alibi ;airtight containers
ˈæləbɑ:stə(r)|ˈæləbæstə(r),alabaster,adj雪白的,n. 雪花石膏； 条纹大理石，蜡石；|adj. 雪花石膏（制）的； 白色的，光滑的；,alabaster complexion
əˈlækrəti|əˈlækrɪti,alacrity,n乐意;敏捷,n. 敏捷； 活泼； 欣然； 乐意,accept with alacrity
ˌɔ:lˈbi:ɪt|ɔlˈbiɪt*** æl-,albeit,conj虽然;尽管,conj. 虽然； 即使；,Albeit fair***the girl was not sought after
ˈælkəmi|ˈælkəmi,alchemy,n炼金术,n. 炼金术； 炼丹术； （改变事物、物质的）魔力（或方法）； （事物、物质的）神秘变化,alchemist ;magic;from alchemy to modern chemistry
ˈælkəʊv|ˈælkoʊv,alcove,n凹室,n. 凹室，壁龛； （花园）凉亭； <古>僻静处；,recess ;In the alcoves
əˈlɜ:t|əˈlɜrt,alert,adj警惕的|警报,adj. 警觉的，警惕的，注意的； 思维敏捷的； 活泼的；|n. 警报； 警戒状态；|vt. 向…报警；,be alert to the possibility of invasion. ;alert somebody to something
ˈeɪliəs|ˈeliəs*** ˈeljəs,alias,n化名;别名,n. 别名，化名；|adv. 以化名为人所知； 化名为； 别名为； 别称又被称为,add this alias to the capture server
ˈæləbaɪ|ˈæləˌbaɪ,alibi,n某人当时不在犯罪现场的申辩或证明,n. 犯罪现场； <美口>辩解，托辞； [法]不在犯罪现场的抗辩事实；|vi. 辩解； 找借口；|vt. 为…辩解； 为（某人）提供不在现场的证词；,have good alibis;a perfect/cast-iron/unshakeable etc alibi
ˈeɪliəneɪt|ˈeljəˌnet*** ˈeliə-,alienate,v疏远;离间某人,vt. 使疏远，离间； 使转移，放弃； [法]转让，让渡（财产或权利）；,alienate from
əˈlaɪn|əˈlaɪn,align,v将某物排列在一条直线上|与某人结盟,vt. 使成一线，使结盟； 排整齐；|vi. 排列； 成一条线；,align yourself with somebody/something
ælɪ'mentərɪ|ˌæləˈmɛntəri*** -tri,alimentary,adj饮食的;营养的,adj. 食物的，营养的；,alimentary canal 食道
ˈælkəlaɪ|ˈælkəˌlaɪ,alkali,n碱,n. 碱；,acid ;alkali metal ;
əˈleɪ|əˈle,allay,v减轻;缓和,vt. 减轻，缓和； 使冷静，使平静； 止渴； 消痛,allay trouble
əˈledʒ|əˈlɛdʒ,allege,v称述;宣称,vt. 断言，宣称，辩解； 提出…作为理由；,it is alleged (that)
əˈli:dʒəns|əˈlidʒəns,allegiance,n忠诚;拥护,n. 忠诚，拥护； （封建）臣道，忠节；,swear/pledge allegiance to
ˈæləgəri|ˈæləgɔri,allegory,n寓言,n. 寓言；,The modern allegory
əˈlɜ:dʒɪk|əˈlɜrdʒɪk,allergic,adj过敏的|对讨厌的,adj. 过敏的； 过敏症的； 对…极讨厌的；,I’m allergic to penicillin
ˈælədʒi|ˈælərdʒi,allergy,n过敏症|厌恶,n. 过敏性反应； 反感，厌恶；,I have an allergy to cats.
əˈli:vieɪt|əˈliviˌet,alleviate,v缓和;减轻,vt. 减轻，缓和；,alleviate pains
ˈæləkeɪt|ˈæləˌket,allocate,v配给;分配,vt. 分配，分派； 把…拨给；,be allocated to ; allocate payments
əˈlaʊəns|əˈlaʊəns,allowance,n津贴;补助|承认允许,n. 津贴，补贴，零用钱； 限额； 折扣； 默许，默认|vt. 给（某人）零用钱或津贴； 按定量供给；,She gets an allowance ;
əˈlu:d|əˈlud,allude,v间接提到;暗指,vi. 暗指； 间接提到；,allude to sth
əˈlʊərɪŋ|əˈlʊrɪŋ,alluring,adj吸引人的;迷人的,adj. 诱惑的； 迷人的； 吸引人的；|v. allure的现在分词；,the alluring magic of Hong Kong
əˈlu:ʒn|əˈluʒən,allusion,n暗示;间接提示,n. 暗指，间接提到； 影射； 典故；,make no allusion to
əˈlɒft|əˈlɔft,aloft,adv在空中;在头顶上,adv. 在空中； 在高处；,loft;hold/bear something aloft
əˈlu:f|əˈluf,aloof,adj冷淡的;疏远的,adj. 冷淡的； 疏远的； 远离的；|adv. 分开地； 避开地；,remain aloof; aloof intellectuals ;stand aloof from
ˌælfəˈbetɪkl|ˌælfəˈbɛtɪkəl,alphabetical,adj按字母表顺序的,adj. 按字母（表）顺序的；,in alphabetical order
ˈɔ:ltə(r)|ˈɔltɚ,alter,v改变;更改,vt. 改变； 更改； 改建（房屋）； （人）变老|vi. 改变； 修改；,alter the very idea of
ɔ:lˈtɜ:nət|ˈɔltərnət,alternate,adj轮流的v轮流n候选人,adj. 轮流的； 交替的； 间隔的； 代替的|vi. 交替； 轮流；|vt. 使交替； 使轮流；|n. 〈美〉（委员）代理人； 候补者； 替换物；,with alternate bands of colour;An alternate way;She alternated between outrage and sympathy
ˈæltruɪzəm|ˈæltruˌɪzəm,altruism,n利他注意|无私,n. 利他主义，无私； 爱他主义； 利人主义；,egoism and altruism;pure altruism
ˌæltrʊ'ɪstɪk|ˌæltrʊ'ɪstɪk,altruistic,adj无私的;为他人着想的,adj. 利他的，无私心的；,Were his motives entirely altruistic?
ˌæljəˈmɪniəm|ˌæljəˈmɪniəm,aluminium,n铝,n. 铝；|adj. 铝的；,aluminium cans;=aluminum
əˈmælgəm|əˈmælɡəm,amalgam,n混合物,n. 汞合金； 混合物；,an amalgam of different styles
əˈmælgəmeɪt|əˈmælɡəˌmet,amalgamate,v合并|混合,vt.& vi. 混合，合并，融合，联合； [冶]使（金属）与水银混合，使（金属）汞齐化；,amalgamate sth with sth
əˈmæs|əˈmæs,amass,v积聚,vt. 积累，积聚；,He amassed a fortune after the war.
ˈæmətə(r)|ˈæmətər,amateur,v业余爱好者,n. 业余爱好者； 外行，生手；|adj. 业余的，非职业的； 外行的；,amateur runners;political amateur
ˈæmətərɪʃ|ˌæməˈtərɪʃ*** -ˈtʃʊr-*** -ˈtjʊr-,amateurish,n业余爱好的不熟练的,adj. 外行的，不熟练的；,amateur n.;in an amateurish way
ˌæmbiˈdekstrəs|ˌæmbɪˈdɛkstrəs,ambidextrous,adj十分灵巧的,adj. 左右手都灵的； 搞两面派的； 非常灵巧的； 非常熟练的,Few of us are naturally ambidextrous ;dextrous机巧的 dexter 右边的 dexterous ;left-handed *** right-handed
æmˈbɪgjuəs|æmˈbɪɡjuəs,ambiguous,adj含糊的,adj. 含糊的，不明确的； 引起歧义的； 有两种或多种意思的； 模棱两可,an ambiguous answer
æm'bɪvələns|æmˈbɪvələns,ambivalence,n矛盾心理,n. 矛盾情绪； 矛盾心理； 摇摆； 犹豫,a genuine ambivalence toward
æmˈbɪvələnt|æmˈbɪvələnt,ambivalent,adj有矛盾看法的,adj. 对某物、某人或某境况具有矛盾情感的； 矛盾的；|n. 两性人；,ambivalent about doing;ambivalent attitude/feelings etc
ˈæmbl|ˈæmbəl,amble,n/v漫步;缓行,vi. （马）缓行； 从容地走，漫步；|n. （马的）缓行步态； 从容轻松的步伐，漫步；,amble along for miles
ˈæmbʊʃ|ˈæmbʊʃ,ambush,n/v埋伏|伏击,n. 埋伏； 伏击； 伏击者，伏兵； 伏击点|vt. 伏击；,be in ambush; fall into an ambush 中埋伏 waylay
əˈmi:liəreɪt|əˈmiljəˌret,ameliorate,v改善;改良,vt. <正，夸>（使）改善，改进； 减轻（痛苦等）； 改良；|vi. 变得更好；,ameliorate conditions ;meliorate improve mend
əˈmi:nəbl|əˈminəbəl*** əˈmɛnə-,amenable,a愿服从的;通情达理的,adj. （对法律等）负责的； 易控制的； 经得起检验（或考查）的； 可用某种方式处理的,be amenable to the law;amenable child ;be amenable to discussion
əˈmend|əˈmɛnd,amend,v修正|变化,vt.& vi. 改良，修改； 修订；,It's time you amended your ways.(早该，虚拟)
əˈmendmənt|əˈmɛndmənt,amendment,n改正;修正,n. 修正案； 修改，修订；,propose an amendment 提修改建议
əˈmi:nəti|əˈmenəti,amenity,n礼仪|使人感到舒适的事物,n. 愉快； 礼仪，举止； （环境等的）舒适； 便利设施,the amenity of surroundings;Teachers' good amenity;etiquette
ˈeɪmiəbl|ˈemiəbəl,amiable,adj和蔼的;亲切的,adj. 和蔼可亲的； 温和的；,an amiable young man
ˈæmɪkəbl|ˈæmɪkəbəl,amicable,adj友好的,adj. 友好的，温和的； 和睦的； 友善的；,live amicablely;amicable negotiation
ˈæməti|ˈæmɪti,amity,n友好关系,n. 和睦，友好关系；,enmity;a spirit of perfect amity
æmˈni:ziə|æmˈniʒə,amnesia,n健忘症,n. <医>遗忘（症），记忆缺失； 善忘； 易忘症； 健忘,aphasia 失语症;victim of amnesia;mnemonics;-ia amnestic 记忆缺失的***(引起) 遗忘(症)的
ˈæmnəsti|ˈæmnɪsti,amnesty,n大赦;特赦,n. 大赦，特赦；|vt. 对…实行大赦； 赦免；,under an amnesty ; absolution
əˈmɔ:fəs|əˈmɔrfəs,amorphous,adj无定形的,adj. 无组织的； 模糊的； 无固定形状的； 非结晶的,an amorphous collection of;an amorphous mass of twisted metal
əˈmɔ:taɪz|ˈæmərtaɪz,amortize,v分期偿还,vt. <商>分期偿还（债务）；,mortise 榫眼 amortize the dedt by stages
æmˈfɪbiən|æmˈfɪbiən,amphibian,n两栖动物|水陆两用飞行器,n. 两栖动物； 水陆两用车； 水旱两生植物； 水陆两用飞行器|adj. 两栖（类）的； 水陆两用的； 具有双重性格的；,amphibians and birds
ˈæmpl|ˈæmpəl,ample,adj富足的;充足的,,ample time/evidence/opportunity
ˈæmplɪfaɪ|ˈæmpləˌfaɪ,amplify,v放大|详述,vt. 放大，扩大； 增强； 详述；|vi. 详述； 引申； 发挥；,Would you care to amplify that remark?
ˈæmplɪtju:d|ˈæmplɪtud,amplitude,n广大;广阔,n. 振幅； 广大，广阔，充足； （思想的）广度； 角度距离,decline in amplitude towards zero
ˈæmjʊlət|ˈæmjəlɪt,amulet,n护身符,n. 护身符；,talisman;like an amulet;talisman
əˈmju:z|əˈmjuz,amuse,v使愉快;逗某人笑,vt. 使人发笑； 逗乐； 使消遣； 娱乐,music;it amuses somebody to do something
əˌnækrə'nɪstɪk|əˌnækrə'nɪstɪk,anachronistic,adj时代错误的,adj. 时代错误的；,outdated and anachronistic ;consider anachronistic
ˌæneəˈrəʊbɪk|ˌæneˈroʊbɪk,anaerobic,adj厌氧的;厌氧微生物,adj. 厌氧菌的，厌氧菌产生的； （细菌等）能在无空气（或无氧）情况下生活（或成长）的； 无氧；,aerobic anaerobe n.[微]厌氧性生物 aer-;anaerobic bacteria
ˈænəgræm|ˈænəˌɡræm,anagram,n变形词,n. 由颠倒字母顺序而构成的字[短语]；,Silent’ is an anagram of ‘listen’.
ˌænəlˈdʒi:ziə|ˌænəlˈdʒiʒə,analgesia,n无痛觉;痛觉丧失,n. 无痛觉，痛觉缺失；,regular analgesia
ˌænəlˈdʒi:zɪk|ˌænəlˈdʒizɪk*** -sɪk,analgesic,n镇痛剂|adj止痛的,n. 止痛剂，镇痛剂；|adj. 止痛的，痛觉缺失的；,Aspirin is a popular analgesic. analgesic effect
əˈnæləgəs|əˈnæləɡəs,analogous,adj类似的,adj. 相似的，可比拟的； <生>同功的； 模拟式；,nothing analogous
əˈnælədʒi|əˈnælədʒi,analogy,n相似|类比,n. 类似，相似； 比拟，类比； 类推；,analogy with/to/between ;draw/make an analogy
ænəlaɪz|ˈænəˌlaɪz,analyze,分析;分解,vt. <美>分析； 分解； 解释； 对…进行心理分析,analyze information
ˈænəkɪst|ˈænərkɪst,anarchist,n无政府主义者,n. 无政府主义者；,several anarchist groups
ˈænəki|ˈænərki,anarchy,n政治上的混乱,n. 混乱； 无秩序； 无政府状态；,slide/fall/descend into anarchy
əˈnæθəmə|əˈnæθəmə,anathema,n被诅咒的人,n. 可憎的事物； 可恶的想法； 十分讨厌的人；,a witch's anathemas;His political views were anathema to me.
ˌænə'tɒmɪkl|ˌænəˈtɑmɪkəl,anatomical,dj解剖学的,adj. 结构（上）的，解剖的；,an anatomical examination
ˈænsestə(r)|ˈænˌsɛstɚ,ancestor,n祖先;祖宗,n. 祖先，祖宗； 被继承人； 原型； （动物的）原种，先祖,My ancestors were French.
ˈænsestri|ˈænˌsɛstri,ancestry,n家系,n. <集合词>祖先； 世家，名门； [生]系谱； 血统,Her mother is of German ancestry
ˈæŋkə(r)|ˈæŋkɚ,anchor,v稳固|固定|锚,n. 锚； 锚状物； 靠山； 压阵队员|vt. 抛锚，抛锚泊船； 使固定，使稳固； 使稳定； 在…任节目主持人|vi. 抛锚，停泊； 固定； [体]任主要运动员； 主持节目|adj. 最后一棒的，末捧的；,The ship was at anchor. ;Her life was anchored by her religion.
ænˈsɪləri|ˈænsəleri,ancillary,adj辅助的|n助手,adj. 辅助的； 补充的； 附属的； 附加的|n. 助手，随从；,ancillary roads ancilla [An`sIlE]n.附属物*** 女仆人
ˈænɪkdəʊt|ˈænɪkdoʊt,anecdote,n短故事|轶事,n. 趣闻，轶事； [复数]秘史；,anecdotes of celebrities;amusing anecdotes about
ə'ni:mi:ə|əˈnimiə,anemia,n贫血;贫血症,n. 贫血症； 无活力，无生气；,cell anemia
ˌænəs'θetɪk|ˌænɪsˈθɛtɪk,anesthetic,n麻醉剂,n. （使局部或全身失去知觉的）麻醉剂，麻醉药；|adj. 感觉缺失的； 麻木的，麻醉的；,treatments without anesthetic; an anesthetic arm;esthetic
ˈæŋgwɪʃ|ˈæŋɡwɪʃ,anguish,n极大痛苦,n. 痛苦； 苦恼； 伤心； 令人心酸|vt. 使极度痛苦； 使苦恼； 悲痛万分；|vi. 感到极度的痛苦； 苦恼；,the anguish of ;an anguished cry for help
ˈæŋgjələ(r)|ˈæŋɡjəlɚ,angular,adj有角的|瘦削的,adj. 有角的； 用角测量的，用弧度测量的； 生硬的，笨拙的； （人）瘦削的,a tall*** angular young man
æn'haɪdrəs|ænˈhaɪdrəs,anhydrous,adj无水的,adj. 无水的（尤指结晶水）；,hydrous adj.含水的; anhydrous reagents
ˈænɪmeɪt|ˈænəˌmet,animate,a活的有生命的v赋予生命,vt. 使有生气； 驱动； 使栩栩如生地动作； 赋予…以生命|adj. 有生命的； 活的； 有生气的； 生气勃勃的,Laughter animated his face for a moment. animate beings
ˈænɪmeɪtɪd|ˈænəˌmetɪd,animated,adj活泼的;生动的,adj. 活生生的，有生气的； 活泼的，活跃的； 愉快的； 动画（片）的|v. 使…有生气(animate的过去式)；,animated discussion/conversation
ˌænɪˈmeɪʃn|ˌænəˈmeʃən,animation,n活泼;卡通之作,n. 生气，活泼； 动画片制作，动画片摄制； [影视]动画片；,They were talking with animation
ˌænɪˈmɒsəti|ˌænɪˈmɑsəti,animosity,n憎恶;仇恨,n. 憎恨，仇恨，敌意；,animosity against/towards sb/sth
